id,channel,text,suggested_feature_area,suggested_sentiment,suggested_severity,suggested_theme,correct_feature_area,correct_sentiment,correct_severity,correct_theme,notes
FB-001,app_store_review,App crashes every single time I hit the Pay Now button. I've tried 4 times and given up. iPhone 14.,Checkout & payments,negative,4,Checkout crash on payment,,,,,
FB-002,support_ticket,I was charged twice for order #88231 — two identical pending charges on my card. Need one refunded ASAP.,Checkout & payments,negative,4,Duplicate charge,,,,,
FB-003,post_purchase_survey,Delivery took 11 days even though it said 2-3 at checkout. No updates the whole time.,Shipping & delivery,negative,3,Slow / late delivery,,,,,
FB-004,social_media,"@shopname your checkout is broken on Safari, the promo code just spins forever and never applies.",Promotions & pricing,negative,3,Promo code fails at checkout,,,,,
FB-005,play_store_review,Can't log in after the latest update. It keeps saying 'session expired' on a loop.,Account & auth,negative,3,Login / session failures,,,,,
FB-006,support_ticket,The discount code SAVE20 from your email won't apply at checkout — it says 'invalid code' but it isn't expired.,Promotions & pricing,negative,3,Promo code fails at checkout,,,,,
FB-007,app_store_review,"Honestly I like the app, but search is useless. I type 'running shoes' and get phone cases.",Search & discovery,mixed,3,Irrelevant search results,,,,,
FB-010,support_ticket,Returns are a nightmare. The return-label generator just gives me a 404 page. Been trying for 3 days.,Returns & refunds,negative,3,Return label broken,,,,,
FB-011,app_store_review,"Product photos don't load half the time, just grey boxes on the product pages. And I'm on fast wifi.",Performance & reliability,negative,2,Product images fail to load,,,,,
FB-012,post_purchase_survey,"Smooth checkout, fast delivery, no complaints at all. Will definitely buy again.",Checkout & payments,positive,1,Positive — smooth purchase,,,,,
FB-013,play_store_review,The checkout button does nothing when I have a saved card selected. I have to delete the card and re-type it every single time.,Checkout & payments,negative,4,Saved-card checkout broken,,,,,
FB-015,support_ticket,My refund was marked 'processed' 3 weeks ago and I still don't see the money. Order #77104.,Returns & refunds,negative,3,Refund not received,,,,,
FB-016,app_store_review,"Decent store but there's no way to filter by size, so I scroll forever and most things are sold out in my size anyway.",Search & discovery,negative,2,No size filter,,,,,
FB-017,post_purchase_survey,Got the wrong item — I ordered a medium in blue and received a small in black. And the return process is unclear.,Shipping & delivery,negative,3,Wrong item shipped,,,,,
FB-019,app_store_review,Promo codes NEVER work. I tried three different codes from your Instagram and they were all 'invalid'. Feels like a scam.,Promotions & pricing,negative,3,Promo code fails at checkout,,,,,
FB-021,post_purchase_survey,Happy with the product. Only issue is the size guide was off — the 'M' runs very small.,Product info,negative,2,Inaccurate size guide,,,,,
FB-022,play_store_review,"The app is so slow to open, takes about 10 seconds on my Samsung, and then it lags while scrolling.",Performance & reliability,negative,2,App slow / laggy,,,,,
FB-023,social_media,"Heads up: their saved-card checkout is bugged on iOS, you have to re-type the card every time. Annoying.",Checkout & payments,negative,4,Saved-card checkout broken,,,,,
FB-026,post_purchase_survey,"Package never arrived. Tracking says 'delivered' but it's not here, and I've had no help from support yet.",Shipping & delivery,negative,3,Lost package (delivered-not-received),,,,,
FB-028,app_store_review,"Good selection but checkout forces me to create an account, there's no guest checkout. Annoying when I'm in a hurry.",Checkout & payments,negative,2,No guest checkout,,,,,
FB-029,support_ticket,My payment failed 3 times with my Mastercard but the money was held each time. Now I have 3 pending holds on my card.,Checkout & payments,negative,3,Payment failures / card holds,,,,,
FB-031,play_store_review,"Added 4 items to my cart, came back an hour later and the cart was completely empty. Lost everything.",Cart,negative,3,Cart not persisted,,,,,
FB-033,support_ticket,"I think I'm seeing someone else's order details in my account history? There are several orders I never placed, with another person's name.",Privacy & data,negative,4,Possible data leak / wrong account data,,,,,
FB-034,app_store_review,The app logged me out on its own and now my whole cart and wishlist are gone. Had to start completely over.,Account & auth,negative,3,Unexpected logout / cart loss,,,,,
FB-037,app_store_review,I got charged but never received an order confirmation email or number. I have no idea if my order even exists.,Checkout & payments,negative,3,No order confirmation,,,,,
FB-040,play_store_review,The search bar doesn't handle typos at all. One letter off and I get zero results.,Search & discovery,negative,2,Search ignores typos,,,,,
FB-041,social_media,"PSA: their app double-charged me AND the refund took forever. Check your statements, people.",Checkout & payments,negative,4,Duplicate charge,,,,,
FB-046,support_ticket,Checkout keeps failing with a generic 'something went wrong' and no detail. I really want this item before it sells out.,Checkout & payments,negative,3,Generic checkout failure,,,,,
FB-048,post_purchase_survey,"I ordered for a birthday and paid extra for express shipping, and it still arrived 4 days late. Ruined the gift.",Shipping & delivery,negative,3,Express shipping missed SLA,,,,,
FB-050,social_media,"checkout crashed on me 3 times before it finally went through, I almost gave up entirely.",Checkout & payments,negative,3,Checkout crash on payment,,,,,
